PALABRA,FRECUENC
abacera,0
abacero,0
abacial,1
abacora,0
abadejo,0
abadesa,3
abajeña,0
abajeño,0
abajera,0
abajote,0
abalada,0
abalado,0
abalear,0
aballar,0
abanear,0
abanico,25
abanino,0
abarcar,13
abarcón,0
abarrar,0
abarraz,0
abarrer,0
abastar,0
abatida,5
abatido,11
abayada,0
abayado,0
abdicar,1
abdomen,9
abebrar,0
abejera,0
abejero,0
abejuna,0
abejuno,0
abeldar,0
abéñola,0
abéñula,0
aberrar,0
abertal,0
abesana,0
abetuna,0
abierta,167
abierto,141
abipona,0
abismal,7
abismar,0
abjurar,2
ablande,1
abnegar,0
abobada,1
abobado,0
abocada,1
abocado,3
abofada,0
abofado,0
abogada,1
abogado,37
abolaga,0
abollar,0
abollón,0
abomaso,0
abombar,0
abonada,2
abonado,4
abonaré,0
abondar,0
abonera,0
abonero,0
abordar,27
aborrío,0
aborrir,0
abortar,5
abortín,0
abortón,0
aboyada,0
aboyado,0
abracar,0
abraham,0
abrahán,0
abrasar,0
abravar,0
abraxas,0
abrazar,10
abrevar,0
abrezar,0
abridor,1
abrigar,5
abrogar,0
abrojal,0
abrojín,0
abromar,0
abrumar,1
abrunal,0
abruñal,0
abrupta,6
abrupto,6
absceso,1
abscisa,1
absenta,0
absente,0
absidal,0
absorta,5
absorto,18
absurda,36
absurdo,69
abucheo,2
abuhada,0
abuhado,0
abulaga,0
abúlica,1
abúlico,2
abultar,0
abundar,1
aburrir,1
abusada,0
abusado,0
abusión,0
abusiva,3
abusivo,2
abusona,0
abyecta,5
abyecto,2
acabada,16
acabado,65
acabijo,0
acabose,0
acaecer,1
acahual,0
acaldar,0
acalefo,0
acallar,7
acalmar,0
acaloro,0
acalote,0
acamada,0
acamado,0
acampar,1
acantio,0
acápite,0
acarear,0
acárida,0
acárido,0
acarreo,1
acceder,32
accensa,0
accenso,0
accésit,1
acebeda,0
acebedo,0
acebibe,0
acechar,3
acechón,0
acecido,0
acedera,0
acedura,0
acéfala,1
acéfalo,1
aceitar,1
aceitón,0
acejero,0
acémila,0
acemita,0
acemite,0
acender,0
acenefa,0
acensar,0
aceñero,0
aceptar,90
aceptor,13
acequia,9
acerada,2
acerado,4
acercar,11
acerico,0
acerina,0
acerino,0
acerola,0
acerolo,0
acertar,18
acervar,0
acetato,0
acética,0
acético,0
acetilo,1
acetite,0
acetona,0
acetosa,0
acetoso,0
aceuxis,0
acezosa,0
acezoso,0
achacar,3
achalay,0
achaque,2
acharar,0
achares,0
achatar,0
achicar,2
achinar,0
achiote,0
achique,0
achocar,0
acholar,0
achuela,0
achurar,0
acianos,0
acicate,6
acídula,0
acídulo,0
aciemar,0
acierto,37
acijada,0
acijado,0
acijosa,0
acijoso,0
acipado,0
aciprés,0
acirate,0
acitara,0
acitrón,0
aclamar,1
aclarar,28
aclareo,0
acleida,0
acleido,0
aclocar,0
acobijo,0
acocear,0
acocote,0
acodada,1
acodado,6
acogeta,0
acogida,17
acogido,9
acoitar,0
acolada,0
acolgar,0
acólito,4
acollar,0
acombar,0
acomodo,7
acónito,0
acontar,0
acopada,0
acopado,0
acopiar,0
acoplar,4
acordar,8
acornar,0
acorrer,0
acortar,1
acorvar,0
acorzar,0
acostar,2
acotada,1
acotejo,0
acracia,1
acrecer,0
acribar,0
acritud,7
acromio,0
actinia,0
actinio,0
actitar,0
actitud,186
activar,1
actuada,0
actuado,12
actuosa,0
actuoso,0
acuario,7
acuátil,0
acubada,0
acubado,0
acuciar,0
acuerdo,303
acuesto,6
acuidad,1
acuitar,0
aculada,0
aculado,2
acuntir,0
acurada,0
acurado,0
acusada,12
acusado,15
acusete,0
acusica,2
acusona,0
adafina,0
adagial,0
adaguar,0
adahala,0
adamada,0
adamado,0
adámica,0
adámico,0
adamita,0
adánica,0
adánico,1
adanida,0
adaptar,8
adáraga,0
adaraja,0
adárame,0
adargar,0
adarvar,0
adecuar,3
adecuja,0
adefera,0
adefina,0
adehala,0
adelfal,0
adeliño,0
adenoma,0
adenosa,0
adenoso,0
adensar,0
adentro,60
aderezo,5
adermar,0
adeudar,0
adherir,0
adhibir,0
adición,14
