PALABRA,FRECUEN
abaldonadamente,0
abarrancamiento,0
abdicativamente,0
aburguesamiento,3
acaudillamiento,0
acomplejamiento,1
acondicionadora,0
acongojadamente,0
acrecentamiento,1
acrisoladamente,0
acristalamiento,0
acuartelamiento,0
adelantadamente,0
adjetivadamente,0
administratoria,0
administratorio,0
adoctrinamiento,3
aerotransportar,0
afortunadamente,38
afrancesamiento,0
agramaticalidad,0
aguascalentense,0
ahervoradamente,0
ajusticiamiento,0
alborotapueblos,0
alborozadamente,1
aleccionamiento,0
alfabéticamente,3
allanabarrancos,0
amaestradamente,0
amarteladamente,0
americanización,0
ametrallamiento,0
amontonadamente,0
amortiguamiento,0
anatematizadora,0
anatomopatóloga,0
anatomopatólogo,0
anglocanadiense,0
animadvertencia,0
anquialmendrada,0
anquialmendrado,0
anquilosamiento,0
antiafrodisiaca,0
antiafrodisíaca,0
antiafrodisiaco,0
antiafrodisíaco,0
antiescorbútica,0
antiescorbútico,0
antiespasmódica,0
antiespasmódico,1
antiliberalismo,0
antimilitarismo,2
antimilitarista,1
antiministerial,0
antiparasitaria,0
antiparasitario,0
antiperistática,0
antiperistático,0
antipontificado,0
antituberculosa,0
antituberculoso,0
antojadizamente,0
antropocéntrica,2
antropocéntrico,1
antropomorfismo,1
apasionadamente,7
apelmazadamente,0
apoltronamiento,0
apostólicamente,0
apremiantemente,0
aprovechamiento,12
aproximadamente,69
arbitrariamente,2
aristoloquiácea,0
aristoloquiáceo,0
arrastradamente,0
arrebatadamente,0
arrebatapuñadas,0
arrebujadamente,0
arrepanchigarse,0
arrepentimiento,9
arrinconamiento,0
arrodillamiento,0
articuladamente,1
ateroesclerosis,0
atestiguamiento,0
atolondramiento,0
atropellamiento,1
atropellaplatos,0
audiofrecuencia,0
audioprotesista,0
automovilística,2
automovilístico,1
autorizadamente,0
autorregulación,0
autorreguladora,0
autosuficiencia,4
aventureramente,0
avergonzamiento,0
averiguadamente,0
avituallamiento,1
bacteriostática,0
bacteriostático,0
bibliotecología,0
biblioteconomía,0
bienaventuranza,1
bioelectricidad,0
blanquecimiento,0
braquiocefálica,0
braquiocefálico,0
buenaventuriana,0
buenaventuriano,0
bulliciosamente,0
caballerilmente,0
cadenciosamente,0
calamitosamente,0
calificadamente,1
calumniosamente,1
campechanamente,0
capitidisminuir,0
caracterización,18
caracterizadora,0
caracterológica,0
caracterológico,0
cariacuchillada,0
cariacuchillado,0
carpetovetónica,1
carpetovetónico,1
casquiderramada,0
casquiderramado,0
castellanamente,0
categóricamente,0
cefalorraquídeo,1
centroamericana,1
centroamericano,1
chilpancingueña,0
chilpancingueño,0
cicatrizamiento,0
cienmillonésima,0
cienmillonésimo,0
científicamente,6
cinematografiar,0
cinematográfica,26
cinematográfico,13
circunferencial,0
circunscripción,1
circunstanciada,2
circunstanciado,0
citodiagnóstico,0
clavicembalista,0
coadministrador,0
colectivización,0
colesterolhemia,0
combustibilidad,1
compactibilidad,0
competentemente,0
complementación,0
completivamente,0
compresibilidad,0
comunicabilidad,0
comunicatividad,0
concatedralidad,0
concatenamiento,0
concertadamente,0
condensabilidad,0
condescendencia,6
condescendiente,8
conductibilidad,0
confeccionadora,0
confesionalidad,0
confidentemente,0
confirmadamente,0
confortabilidad,0
congraciamiento,0
congratulatoria,0
congratulatorio,0
connaturalmente,0
conservadorismo,0
conservadurismo,6
constreñimiento,0
constriñimiento,0
constructivismo,3
consuetudinaria,0
consuetudinario,0
contemporizador,0
continentemente,0
continuadamente,1
contraalmirante,0
contrabajonista,0
contrabalancear,0
contracorriente,4
contradurmiente,0
contraemboscada,0
contraescritura,0
contraespionaje,1
contraguerrilla,0
contraindicante,0
contramalladura,0
contrapalanquín,0
contrapotenzada,0
contrapotenzado,0
contraprincipio,0
contrarregistro,0
contratorpedero,0
contratrinchera,0
convalecimiento,0
conventualmente,0
convertibilidad,0
coordinadamente,0
coparticipación,0
copulativamente,0
correctibilidad,0
correligionaria,0
correligionario,2
correspondencia,65
correspondiente,66
corrompidamente,0
corruptibilidad,0
costringimiento,0
cristalográfica,2
cristalográfico,0
cristianización,2
cromolitografía,0
cromotipografía,0
cuadruplicación,0
cuellidegollada,0
cuellidegollado,0
cuestionamiento,2
cumulativamente,0
cundinamarquesa,0
dactiloscopista,0
decalcificación,0
defallecimiento,0
definitivamente,99
deleitabilísima,0
deleitabilísimo,0
democratización,4
demonstramiento,0
denominadamente,0
derechohabiente,0
derramaplaceres,0
derrancadamente,0
desacatadamente,0
desacoplamiento,0
desacordamiento,0
desacostumbrada,2
desacostumbrado,2
desacreditadora,0
desafinadamente,0
desaforadamente,1
desafuciamiento,0
desahogadamente,0
desamoradamente,0
desamortización,0
desamortizadora,0
desamparamiento,0
desanimadamente,0
desapacibilidad,0
desarticulación,1
desastradamente,0
desatentamiento,0
desatinadamente,0
desatornillador,0
desautorización,0
desayuntamiento,0
desbaratamiento,0
descabalamiento,0
descabezamiento,0
descalificación,2
descansadamente,0
descarnadamente,0
descarriamiento,0
descarrilladura,0
descascarillada,0
descascarillado,1
descatolización,0
descimbramiento,0
descodificación,0
descodificadora,0
