PALABRA,FRECUENC,RHO,PHI,LENGTH
balón,44,16,28.299508382705156,5
bedel,20,15,29.717695221287805,5
blusa,31,16,29.573031279825685,5
bolso,37,15,29.642902162755934,5
botón,50,18,22.63276368154724,5
bulto,42,17,24.449646743860786,5
buque,32,18,18.06006254764606,5
cajón,52,15,27.957117045734215,5
culto,59,15,28.22015330776203,5
cutis,20,16,26.68347409555023,5
débil,68,15,19.155306645537326,5
digno,46,17,29.881567652902582,5
dócil,21,13,22.925813209438573,5
ducha,42,16,29.542897960898717,5
duque,30,17,20.370963966073006,5
fluir,26,16,26.72129081053826,5
flujo,39,16,19.08687639936852,5
fruto,55,18,28.25484864310025,5
galán,27,16,28.23491983456688,5
globo,28,16,27.215429219715112,5
grifo,21,17,30.027312071935796,5
guión,36,18,19.464083124741137,5
judío,30,16,17.371438175673646,5
julio,57,15,26.415755764047706,5
junio,51,17,27.764311825827015,5
justa,41,17,28.90661672459227,5
lápiz,20,17,16.30464665382099,5
lunes,63,16,27.684236432503166,5
móvil,26,18,17.25078484690233,5
muslo,21,18,24.616640555125365,5
plomo,25,18,29.045758225135508,5
pongo,54,18,29.079132976775732,5
pudor,24,17,28.344048069246607,5
pulso,42,16,23.881195488405872,5
quark,36,18,28.469983732809904,5
quedo,35,16,26.647818335704383,5
queja,23,16,29.337247063201936,5
queso,24,16,26.699801312179982,5
revés,47,16,23.934619101642927,5
sazón,27,18,26.70124194894143,5
subir,79,17,26.887564303422113,5
susto,38,17,26.269170973570315,5
sutil,46,16,25.81921209174455,5
tirón,26,17,29.060524751940356,5
toque,49,17,27.78340026291621,5
tribu,20,18,27.971163254158338,5
túnel,34,17,25.60239625914654,5
vejez,41,18,21.394776491209115,5
vello,21,14,29.40543720324383,5
vídeo,59,16,24.074120761376527,5
vigor,28,17,29.89273258780381,5
básico,32,18,29.51384511954284,6
código,63,18,29.39727359492896,6
cónsul,42,18,23.77879022527957,6
léxico,46,17,28.395790939595297,6
lógico,88,17,29.992616736597572,6
pálido,51,18,29.11274783454287,6
sillón,65,17,28.198063544086487,6
válido,25,18,27.753386997052697,6
