PALABRA,FRECUENC,RHO,PHI,LENGTH
fugaz,33,20,22.474773850041718,5
rumbo,60,20,26.768591717539152,5
tumba,61,21,29.00097843246715,5
zombi,20,21,23.57614065416914,5
compás,30,21,24.660339870222636,6
cúmulo,21,21,26.02426272412406,6
dibujo,44,20,27.650141362482216,6
fábula,26,20,26.500513226846266,6
fulgor,25,20,29.479750049521886,6
fusión,76,21,23.011651149808216,6
fútbol,62,21,22.40430270179419,6
jueves,52,20,27.97800627877522,6
mágico,44,21,28.33696493850282,6
millón,54,20,27.085771911184743,6
montón,53,24,29.967885805526038,6
porqué,24,20,24.59719195884581,6
súbito,38,21,29.189821901280364,6
