PALABRA,FRECUENC,RHO,PHI,LENGTH
cabra,21,15,47.979326862473215,5
canal,68,14,47.71929192703175,5
canta,42,16,48.25953071257496,5
carro,48,14,49.193423493183985,5
casar,26,14,50.342211257375766,5
drama,75,18,47.770314478999715,5
faena,21,17,48.00885991608291,5
grasa,25,16,46.50711614533624,5
marca,76,17,49.22991962447402,5
marea,36,18,53.13536583169761,5
mareo,22,18,46.92838234499649,5
nadar,20,16,50.77452233887378,5
parar,82,16,52.14504811126518,5
rabia,48,16,50.828066005174286,5
rodea,40,15,47.98869100142263,5
santa,56,17,46.85190854357626,5
tapia,26,17,47.36861692868248,5
tarda,21,16,49.966205062637684,5
tirar,38,16,47.87608122790273,5
traer,53,16,48.93278829242526,5
bailar,61,18,55.56403930537297,6
cargar,31,18,57.165547171849965,6
carnal,24,17,56.97010078454677,6
cartel,24,17,50.01818803911329,6
casada,41,17,60.88130953881616,6
casado,60,17,54.674326052115035,6
casual,22,17,48.992814824152276,6
caudal,57,17,48.94083184767668,6
causal,30,17,48.992814824152276,6
cerrar,85,17,58.50762036820274,6
charco,20,17,46.53016633351942,6
charla,26,17,51.87288781641486,6
cobrar,21,18,51.02315223328712,6
colega,38,17,46.698600781545444,6
collar,27,15,49.41456123606635,6
coraje,32,17,50.07137154622343,6
corona,42,18,55.46943749137118,6
corral,25,16,53.92939679338268,6
cortar,38,18,54.46963557892589,6
crecer,65,16,48.713451345494704,6
criada,46,17,58.73920272760561,6
criado,38,17,52.53221924090448,6
cuadra,28,18,53.455667404993015,6
cuerda,49,18,47.31207193579562,6
desear,27,18,52.244692153932036,6
diaria,29,18,61.58794187030668,6
docena,56,18,50.42264680988997,6
dorada,53,18,58.27291662915009,6
dorado,40,18,52.06593314244897,6
fraile,35,18,48.71081017809872,6
ladera,23,17,58.931647788322444,6
lejana,58,18,52.24781353358184,6
ligera,52,18,49.35585528803731,6
llenar,48,17,49.9622433115437,6
locura,69,17,47.8440270599605,6
lograr,83,18,50.094301681343154,6
nacida,24,18,55.572923232068575,6
pecado,79,18,46.68299388329642,6
recelo,23,16,48.04067397789822,6
receta,21,18,54.78789625014256,6
recreo,22,17,52.555509535214554,6
regalo,82,18,50.34917433505609,6
rencor,35,18,49.134357385964606,6
saliva,29,18,49.66163044065477,6
saltar,36,18,54.75416133931198,6
salvar,48,18,50.46346485146435,6
sierra,52,18,56.29816378839447,6
soltar,21,18,48.54717785261086,6
taller,38,17,49.153926035307606,6
tercio,22,18,47.52420569891892,6
toalla,32,17,55.489006140714196,6
tocado,51,18,49.55094151615013,6
velada,27,18,50.66635452870169,6
