PALABRA,FRECUENC,RHO,PHI,LENGTH
barato,25,20,57.09759713793497,6
basura,55,20,49.737143817567365,6
bonita,50,21,46.73101510867803,6
butaca,36,20,47.17016921479294,6
cambia,43,21,50.25781395376757,6
cometa,35,21,48.554020877227735,6
famosa,63,22,49.13387717371078,6
fatiga,32,21,47.90897576728914,6
formar,57,22,47.79360477330981,6
fragor,20,20,46.47842346317073,6
ganado,58,20,52.73114716704784,6
gastar,23,20,51.783328231078144,6
gitano,21,21,46.66642656053976,6
gritar,50,20,49.64122141986758,6
guarda,66,20,49.62057229295348,6
laguna,21,20,47.04963593908508,6
lanzar,23,20,52.14468795207482,6
madura,21,22,50.93575360309257,6
maldad,25,20,47.396109080213456,6
maleta,47,21,53.89674236012317,6
mancha,59,22,47.050956522783075,6
mandar,33,22,53.85484384097772,6
manual,39,22,48.36481724922416,6
marina,42,22,58.163188129153085,6
marino,42,22,51.956204642451965,6
martes,40,22,46.95491407201983,6
mejora,20,21,47.55145774432299,6
melena,31,21,48.56146416716189,6
mierda,76,21,50.07569345650778,6
mirado,32,21,50.01230543900404,6
moneda,37,22,47.90273300798953,6
montar,36,23,48.78344228148842,6
morena,41,22,53.01291170697448,6
moreno,35,22,46.80592822027336,6
mortal,47,21,47.43488621970911,6
mulata,25,22,47.556499972988064,6
navaja,50,20,54.64095130047481,6
nevera,24,20,50.98149382026856,6
pagado,25,20,48.99149424045429,6
paloma,31,21,50.902018692261976,6
pegada,23,20,49.05488225795802,6
pereza,44,21,47.03114776731315,6
pierna,77,20,51.28414759323621,6
pintar,32,21,47.05467816775014,6
planta,89,20,49.740145144153715,6
prenda,36,20,46.975803305060836,6
probar,37,20,47.767793364667185,6
regazo,26,21,46.38802350638983,6
remota,28,22,52.20459443073839,6
romana,31,22,59.15650717617187,6
romano,40,22,52.94952368947075,6
romero,30,21,49.972207715810384,6
rutina,59,21,47.875240856458554,6
sotana,31,20,56.29420203730049,6
tierna,30,20,54.21548324359367,6
tierno,24,20,48.00849975689255,6
tomado,79,22,47.0310277142497,6
trampa,59,23,51.25077284159599,6
vacuna,21,20,47.13427334882018,6
zapato,33,22,49.136758447233674,6
